frame,lm_0_x,lm_0_y,lm_0_z,lm_0_vis,lm_1_x,lm_1_y,lm_1_z,lm_1_vis,lm_2_x,lm_2_y,lm_2_z,lm_2_vis,lm_3_x,lm_3_y,lm_3_z,lm_3_vis,lm_4_x,lm_4_y,lm_4_z,lm_4_vis,lm_5_x,lm_5_y,lm_5_z,lm_5_vis,lm_6_x,lm_6_y,lm_6_z,lm_6_vis,lm_7_x,lm_7_y,lm_7_z,lm_7_vis,lm_8_x,lm_8_y,lm_8_z,lm_8_vis,lm_9_x,lm_9_y,lm_9_z,lm_9_vis,lm_10_x,lm_10_y,lm_10_z,lm_10_vis,lm_11_x,lm_11_y,lm_11_z,lm_11_vis,lm_12_x,lm_12_y,lm_12_z,lm_12_vis,lm_13_x,lm_13_y,lm_13_z,lm_13_vis,lm_14_x,lm_14_y,lm_14_z,lm_14_vis,lm_15_x,lm_15_y,lm_15_z,lm_15_vis,lm_16_x,lm_16_y,lm_16_z,lm_16_vis,lm_17_x,lm_17_y,lm_17_z,lm_17_vis,lm_18_x,lm_18_y,lm_18_z,lm_18_vis,lm_19_x,lm_19_y,lm_19_z,lm_19_vis,lm_20_x,lm_20_y,lm_20_z,lm_20_vis,lm_21_x,lm_21_y,lm_21_z,lm_21_vis,lm_22_x,lm_22_y,lm_22_z,lm_22_vis,lm_23_x,lm_23_y,lm_23_z,lm_23_vis,lm_24_x,lm_24_y,lm_24_z,lm_24_vis,lm_25_x,lm_25_y,lm_25_z,lm_25_vis,lm_26_x,lm_26_y,lm_26_z,lm_26_vis,lm_27_x,lm_27_y,lm_27_z,lm_27_vis,lm_28_x,lm_28_y,lm_28_z,lm_28_vis,lm_29_x,lm_29_y,lm_29_z,lm_29_vis,lm_30_x,lm_30_y,lm_30_z,lm_30_vis,lm_31_x,lm_31_y,lm_31_z,lm_31_vis,lm_32_x,lm_32_y,lm_32_z,lm_32_vis
1,0.5463681817054749,0.24199312925338745,-0.35376206040382385,0.9999945163726807,0.5289196372032166,0.22681862115859985,-0.30330008268356323,0.9999922513961792,0.5284842848777771,0.22638733685016632,-0.30336084961891174,0.9999850988388062,0.5275843739509583,0.22582586109638214,-0.3034694492816925,0.9999876022338867,0.5197007656097412,0.22792240977287292,-0.3691769540309906,0.9999963045120239,0.5125668048858643,0.22845739126205444,-0.369206964969635,0.9999948740005493,0.5044080018997192,0.22924256324768066,-0.3692150115966797,0.9999970197677612,0.49255549907684326,0.2345467507839203,-0.05178134888410568,0.9999808073043823,0.46415865421295166,0.24118010699748993,-0.35232946276664734,0.9999970197677612,0.5473102927207947,0.25919002294540405,-0.255799800157547,0.9999767541885376,0.5353589057922363,0.2603108882904053,-0.34231945872306824,0.9999972581863403,0.49185237288475037,0.33482614159584045,0.2598789930343628,0.9997711777687073,0.39284810423851013,0.35384517908096313,-0.45238158106803894,0.9999816417694092,0.5032961964607239,0.43546658754348755,0.612378716468811,0.22568102180957794,0.24057969450950623,0.46984440088272095,-0.5162434577941895,0.9990793466567993,0.6378024816513062,0.44799989461898804,0.6319361329078674,0.5391616225242615,0.4937840700149536,0.518658459186554,-0.4600459933280945,0.9928997755050659,0.6743109226226807,0.45974603295326233,0.6346243023872375,0.5651035308837891,0.5502508282661438,0.5487047433853149,-0.508581817150116,0.9787905812263489,0.6714247465133667,0.4548947215080261,0.5753821134567261,0.576299786567688,0.5720221400260925,0.5333361029624939,-0.48884835839271545,0.9793834090232849,0.6509387493133545,0.45450443029403687,0.6060642004013062,0.5432477593421936,0.5644870400428772,0.523763120174408,-0.4420028030872345,0.9748308062553406,0.5499212741851807,0.5566638112068176,0.2510102689266205,0.999442994594574,0.47567906975746155,0.5980948805809021,-0.251128226518631,0.9994719624519348,0.8631924986839294,0.5976848602294922,0.26607340574264526,0.5325822234153748,0.8529114723205566,0.6485718488693237,-0.312396764755249,0.9588670134544373,0.7837130427360535,0.7800741195678711,0.42145344614982605,0.518326461315155,0.7913549542427063,0.8090258240699768,0.0788230448961258,0.9004004597663879,0.7200349569320679,0.810389518737793,0.4313514530658722,0.565210223197937,0.7381033301353455,0.8373813033103943,0.13376258313655853,0.8489035964012146,0.9098889827728271,0.8205277323722839,0.4259273409843445,0.5635759830474854,0.9352425336837769,0.8441308736801147,0.22247132658958435,0.8866194486618042
2,0.5453261733055115,0.24069178104400635,-0.361148864030838,0.9999944567680359,0.5282685160636902,0.22537711262702942,-0.3148006498813629,0.9999921917915344,0.5280433297157288,0.22500231862068176,-0.31483930349349976,0.9999852776527405,0.527331531047821,0.22456631064414978,-0.3149458169937134,0.9999876618385315,0.5184528827667236,0.2264605462551117,-0.3781139850616455,0.9999962449073792,0.5108978152275085,0.22705267369747162,-0.3781837522983551,0.9999948740005493,0.5018187165260315,0.22791720926761627,-0.37818819284439087,0.9999970197677612,0.4888229966163635,0.23451022803783417,-0.08320699632167816,0.9999814629554749,0.4604598879814148,0.24055299162864685,-0.36865273118019104,0.999997079372406,0.5463700890541077,0.2591872811317444,-0.26919814944267273,0.9999769926071167,0.5339879989624023,0.2603110671043396,-0.35202649235725403,0.9999973177909851,0.49187788367271423,0.3337077796459198,0.20073656737804413,0.999774694442749,0.39340659976005554,0.35275596380233765,-0.452417254447937,0.9999814629554749,0.4902134835720062,0.4348095953464508,0.5638752579689026,0.23267121613025665,0.24038150906562805,0.4701255261898041,-0.49323391914367676,0.999092698097229,0.6331320405006409,0.4480392038822174,0.6321337223052979,0.5405150651931763,0.49315038323402405,0.5204270482063293,-0.3850895166397095,0.9928216338157654,0.6680431962013245,0.45926713943481445,0.635612428188324,0.5661221742630005,0.5494086146354675,0.5494557023048401,-0.4198983609676361,0.9786068201065063,0.6650960445404053,0.4542013108730316,0.5779042840003967,0.5768839716911316,0.5706773400306702,0.5341191291809082,-0.39520731568336487,0.9792113900184631,0.644403338432312,0.45375099778175354,0.6077487468719482,0.5434171557426453,0.562076985836029,0.5247107744216919,-0.3629487156867981,0.9747753739356995,0.549294114112854,0.5573191046714783,0.23463135957717896,0.9993860125541687,0.47832801938056946,0.6016966700553894,-0.23449529707431793,0.9994490146636963,0.8663125038146973,0.598188042640686,0.2729197144508362,0.540395975112915,0.8544900417327881,0.6485348343849182,-0.2952027916908264,0.9600985646247864,0.7771207690238953,0.7733637690544128,0.44484055042266846,0.5156206488609314,0.7942038774490356,0.8086541295051575,0.08073482662439346,0.8982037901878357,0.7197154760360718,0.8012240529060364,0.4571995437145233,0.5606399774551392,0.7424324750900269,0.8365789651870728,0.1353621780872345,0.8472538590431213,0.9017614722251892,0.8187764286994934,0.48173788189888,0.5598054528236389,0.9361844658851624,0.8441201448440552,0.24355162680149078,0.884535014629364
3,0.5448256731033325,0.24034330248832703,-0.36127394437789917,0.9999942183494568,0.5280036330223083,0.22496336698532104,-0.3164312541484833,0.9999920129776001,0.5278511643409729,0.22459067404270172,-0.31647101044654846,0.9999852180480957,0.5272014737129211,0.22417744994163513,-0.3165826201438904,0.9999875426292419,0.5179595351219177,0.2259606122970581,-0.37875938415527344,0.9999961256980896,0.5102737545967102,0.22652852535247803,-0.378838449716568,0.999994695186615,0.5009592771530151,0.22734792530536652,-0.3788459002971649,0.9999969005584717,0.4852326810359955,0.23451603949069977,-0.09339960664510727,0.9999818801879883,0.45838502049446106,0.2402072250843048,-0.3726312816143036,0.999997079372406,0.5457460284233093,0.25942331552505493,-0.27143704891204834,0.9999768733978271,0.5331399440765381,0.26060232520103455,-0.352859765291214,0.9999973177909851,0.4917314052581787,0.33279937505722046,0.17992784082889557,0.9997765421867371,0.39459607005119324,0.35231879353523254,-0.44976845383644104,0.9999812245368958,0.4816272556781769,0.4347115159034729,0.5320574045181274,0.2339733988046646,0.24107392132282257,0.471453994512558,-0.4740894138813019,0.9990935325622559,0.6289608478546143,0.44862210750579834,0.6146324872970581,0.5350701808929443,0.4914061427116394,0.5236767530441284,-0.35505563020706177,0.9925912022590637,0.663989782333374,0.45937368273735046,0.6182190179824829,0.5610726475715637,0.5471453070640564,0.5524396896362305,-0.3876321613788605,0.9780208468437195,0.6588102579116821,0.4547588527202606,0.5633671283721924,0.5714828372001648,0.5681363940238953,0.5365889072418213,-0.36227715015411377,0.9786522388458252,0.6395827531814575,0.45413854718208313,0.5930213928222656,0.5379877090454102,0.5585848689079285,0.5272367596626282,-0.33273863792419434,0.974321186542511,0.5479167103767395,0.557356595993042,0.22573614120483398,0.9993476271629333,0.47873392701148987,0.603066623210907,-0.22555138170719147,0.9994391798973083,0.8662734031677246,0.5978519320487976,0.2755120098590851,0.5463934540748596,0.8552276492118835,0.6483269929885864,-0.270844966173172,0.9610287547111511,0.7699812054634094,0.7690519690513611,0.4533933997154236,0.5136019587516785,0.7961917519569397,0.8080185651779175,0.09461919218301773,0.8960819840431213,0.715609610080719,0.7957860231399536,0.46625933051109314,0.5562722086906433,0.743711531162262,0.8355278372764587,0.14777851104736328,0.8443698287010193,0.8940858244895935,0.8247513771057129,0.4921738803386688,0.5568503141403198,0.9365116357803345,0.8432618379592896,0.25880908966064453,0.8823745846748352
4,0.5448269248008728,0.2403508722782135,-0.29008713364601135,0.9999939203262329,0.5279796123504639,0.22497835755348206,-0.25601714849472046,0.9999917149543762,0.5277985334396362,0.2246042639017105,-0.2560786008834839,0.9999851584434509,0.5270907282829285,0.22418487071990967,-0.25620514154434204,0.9999875426292419,0.5179494619369507,0.22596783936023712,-0.324326753616333,0.9999958276748657,0.510253369808197,0.22651559114456177,-0.32440027594566345,0.9999943375587463,0.5009493231773376,0.2272951900959015,-0.3244205117225647,0.9999966621398926,0.4813462495803833,0.23474156856536865,-0.07620500028133392,0.999982476234436,0.45774802565574646,0.23991532623767853,-0.3709031939506531,0.9999969601631165,0.545454740524292,0.26014021039009094,-0.21363843977451324,0.9999772906303406,0.5330967307090759,0.26132461428642273,-0.3031701445579529,0.9999973177909851,0.4907093346118927,0.3323737382888794,0.18875405192375183,0.9997894763946533,0.39525744318962097,0.3523624837398529,-0.4466944634914398,0.9999811053276062,0.48169785737991333,0.43463343381881714,0.5376274585723877,0.24894072115421295,0.24461838603019714,0.4745960831642151,-0.4627561569213867,0.999073326587677,0.6286635994911194,0.44968974590301514,0.6038116812705994,0.5452284216880798,0.4913475215435028,0.5269030928611755,-0.3365170359611511,0.9923588037490845,0.6641521453857422,0.46018025279045105,0.6027888059616089,0.5693700313568115,0.5471510887145996,0.5550521016120911,-0.370398610830307,0.9775864481925964,0.6589596271514893,0.4561769366264343,0.545789897441864,0.5798092484474182,0.5679184198379517,0.5388368964195251,-0.3496507406234741,0.9782319068908691,0.639167845249176,0.45508408546447754,0.5815194249153137,0.5459893345832825,0.5580312609672546,0.5297233462333679,-0.3160567581653595,0.9738737940788269,0.5466558337211609,0.557516872882843,0.22543273866176605,0.9993318915367126,0.47903549671173096,0.6043745875358582,-0.22521929442882538,0.9994297027587891,0.8663179874420166,0.5977485179901123,0.27676093578338623,0.5480551719665527,0.8557678461074829,0.6482827067375183,-0.26700693368911743,0.9615935683250427,0.7707968950271606,0.7692034244537354,0.44972503185272217,0.5098595023155212,0.7984241843223572,0.8078890442848206,0.1045035645365715,0.8929438591003418,0.7157881259918213,0.7968904972076416,0.4617789685726166,0.5515890717506409,0.7473434805870056,0.8355536460876465,0.15771840512752533,0.8412952423095703,0.8934915661811829,0.8202923536300659,0.48086559772491455,0.5529727339744568,0.9378184676170349,0.8421574234962463,0.2673042118549347,0.8792913556098938
5,0.5444754362106323,0.24035751819610596,-0.24547311663627625,0.9999925494194031,0.5270928740501404,0.2249877154827118,-0.2172323614358902,0.9999901056289673,0.5265147686004639,0.22461311519145966,-0.21730326116085052,0.9999834299087524,0.5252785682678223,0.22421894967556,-0.21744319796562195,0.9999863505363464,0.5175672173500061,0.22598038613796234,-0.28877466917037964,0.999994695186615,0.5099632143974304,0.22652125358581543,-0.28887420892715454,0.9999929070472717,0.5008522272109985,0.2272806018590927,-0.2889215350151062,0.999995768070221,0.4762914180755615,0.23518073558807373,-0.05920331925153732,0.9999819397926331,0.45724716782569885,0.23976057767868042,-0.3703985810279846,0.9999963045120239,0.5444293022155762,0.2605738639831543,-0.1762014925479889,0.9999760985374451,0.5328587293624878,0.26184314489364624,-0.27013641595840454,0.999997079372406,0.48671576380729675,0.331974595785141,0.18690365552902222,0.9997945427894592,0.39525431394577026,0.35264095664024353,-0.44677725434303284,0.9999802708625793,0.47874900698661804,0.43499359488487244,0.5361924171447754,0.2567746639251709,0.24586604535579681,0.4772641658782959,-0.45353877544403076,0.9990310072898865,0.6265881061553955,0.4519953429698944,0.607032060623169,0.5438783168792725,0.49087098240852356,0.5295636653900146,-0.30437782406806946,0.9919238090515137,0.6618537902832031,0.4614431858062744,0.6071209907531738,0.567826509475708,0.5468346476554871,0.5573176741600037,-0.33411088585853577,0.9767611622810364,0.6557174324989319,0.4579422175884247,0.5499094128608704,0.5784592032432556,0.5673934817314148,0.5409219264984131,-0.3125942051410675,0.9774380326271057,0.6367731690406799,0.45666614174842834,0.5843329429626465,0.5447255969047546,0.5571576356887817,0.5317004323005676,-0.28341078758239746,0.9729301929473877,0.5452551245689392,0.5575165748596191,0.22495009005069733,0.999261736869812,0.4790213406085968,0.604983925819397,-0.22467178106307983,0.9993929862976074,0.8661996126174927,0.5963835716247559,0.2794869840145111,0.5506172180175781,0.8562512993812561,0.6482307314872742,-0.26452967524528503,0.9621580839157104,0.7703112959861755,0.7669514417648315,0.46134522557258606,0.5073025822639465,0.7989146113395691,0.8078215718269348,0.10445545613765717,0.8918572664260864,0.7122262120246887,0.7905402183532715,0.4748852849006653,0.5487964749336243,0.7480981945991516,0.8356271386146545,0.1573680341243744,0.8404523134231567,0.8869938254356384,0.8208343386650085,0.49855712056159973,0.5504852533340454,0.9384822249412537,0.841793417930603,0.261893093585968,0.877980649471283
6,0.5433921813964844,0.24036747217178345,-0.26065582036972046,0.9999912977218628,0.5252990126609802,0.22499732673168182,-0.2293020635843277,0.9999886751174927,0.524526834487915,0.22462402284145355,-0.22938485443592072,0.9999819397926331,0.5230613350868225,0.22422903776168823,-0.22953005135059357,0.9999852180480957,0.5159380435943604,0.22598807513713837,-0.2996727526187897,0.999993622303009,0.5083708763122559,0.22652576863765717,-0.29976412653923035,0.9999914765357971,0.49962317943573,0.2272767424583435,-0.29980185627937317,0.9999948740005493,0.4736405313014984,0.23545458912849426,-0.05915815383195877,0.9999812841415405,0.45600101351737976,0.23974812030792236,-0.373910129070282,0.9999956488609314,0.5433371067047119,0.2608601450920105,-0.18780988454818726,0.9999749064445496,0.5320888757705688,0.2621917128562927,-0.2802172303199768,0.9999968409538269,0.48680514097213745,0.3319914937019348,0.17985467612743378,0.99979567527771,0.39526990056037903,0.35285210609436035,-0.4491809904575348,0.9999788999557495,0.47975674271583557,0.4409056603908539,0.4942570924758911,0.2564329206943512,0.24584408104419708,0.47912752628326416,-0.4589919149875641,0.9989768266677856,0.6247531771659851,0.45913082361221313,0.5260784029960632,0.5346687436103821,0.49088576436042786,0.5325474143028259,-0.3179045617580414,0.9912042021751404,0.6601333618164062,0.4680485725402832,0.5193518996238708,0.5594200491905212,0.5468279123306274,0.5613126754760742,-0.35215047001838684,0.9751231074333191,0.654171347618103,0.4651962220668793,0.46200689673423767,0.5702858567237854,0.5674160122871399,0.54529869556427,-0.32658010721206665,0.9758061766624451,0.635679304599762,0.4641234874725342,0.5019853115081787,0.5368884205818176,0.5572185516357422,0.535378634929657,-0.29616570472717285,0.9710425138473511,0.5451161861419678,0.5576134920120239,0.22577841579914093,0.9992284774780273,0.47905340790748596,0.6058675646781921,-0.22550168633460999,0.999371349811554,0.8661791682243347,0.5948697328567505,0.27924445271492004,0.5541900992393494,0.85624098777771,0.6483014822006226,-0.2634432017803192,0.9629991054534912,0.7704907059669495,0.7659288644790649,0.4577966034412384,0.5100579857826233,0.7992506623268127,0.8077659010887146,0.12371159344911575,0.8909876346588135,0.7130438089370728,0.7925527095794678,0.47067028284072876,0.5497352480888367,0.7482948899269104,0.8355844616889954,0.17772990465164185,0.8381714224815369,0.8929229378700256,0.8242807388305664,0.4891739785671234,0.5531731247901917,0.9390113949775696,0.8418022990226746,0.2753930985927582,0.876902163028717
7,0.5429162383079529,0.24037030339241028,-0.2792333960533142,0.9999906420707703,0.5244781374931335,0.22498245537281036,-0.24035297334194183,0.9999880194664001,0.5237516164779663,0.22461092472076416,-0.2404262274503708,0.9999813437461853,0.5223352909088135,0.22422455251216888,-0.2405335009098053,0.9999848008155823,0.5149639844894409,0.2259853184223175,-0.3083329498767853,0.9999930262565613,0.507345974445343,0.22652503848075867,-0.308399498462677,0.9999907612800598,0.4987204968929291,0.2272738814353943,-0.3084486126899719,0.9999943971633911,0.4731207489967346,0.23553414642810822,-0.07463037222623825,0.9999813437461853,0.45537930727005005,0.23973363637924194,-0.3885639011859894,0.9999953508377075,0.5430380702018738,0.2610377371311188,-0.19684870541095734,0.9999744892120361,0.5318441987037659,0.26246535778045654,-0.2861568331718445,0.9999967217445374,0.48637449741363525,0.33198627829551697,0.16214415431022644,0.999799907207489,0.3953936994075775,0.35294145345687866,-0.45622146129608154,0.9999777674674988,0.4783955514431,0.44176986813545227,0.4781177341938019,0.2593300938606262,0.24560192227363586,0.4805927872657776,-0.4583878815174103,0.9989381432533264,0.6216039061546326,0.4611833393573761,0.5187497138977051,0.5328094959259033,0.489789754152298,0.5347194075584412,-0.3048936724662781,0.9905487298965454,0.6569398641586304,0.4705963432788849,0.5123637914657593,0.5577754378318787,0.5466192364692688,0.5643770098686218,-0.33730828762054443,0.9735421538352966,0.6511014699935913,0.4680463671684265,0.4559555947780609,0.5688472986221313,0.5670008063316345,0.5489240884780884,-0.31131434440612793,0.9742657542228699,0.6332299709320068,0.46632951498031616,0.49539467692375183,0.5356152057647705,0.5563188791275024,0.5385250449180603,-0.28271129727363586,0.9693785905838013,0.5442812442779541,0.5576143264770508,0.22593514621257782,0.9991934299468994,0.4789983928203583,0.6060754060745239,-0.2256549447774887,0.9993532299995422,0.865754246711731,0.594304621219635,0.281131386756897,0.5590343475341797,0.8561962842941284,0.648429811000824,-0.26123908162117004,0.9639627933502197,0.7708720564842224,0.7661794424057007,0.4606255888938904,0.511054515838623,0.7993941307067871,0.8076472282409668,0.12888048589229584,0.8899102210998535,0.6945576071739197,0.7851618528366089,0.47391942143440247,0.5483569502830505,0.7481530904769897,0.8350417613983154,0.18365101516246796,0.8362414836883545,0.8933713436126709,0.824167013168335,0.4976124167442322,0.5532965660095215,0.9390276670455933,0.8419203162193298,0.2883434593677521,0.8751774430274963
8,0.5427351593971252,0.24037645757198334,-0.27328434586524963,0.9999893307685852,0.5241246223449707,0.224959135055542,-0.24127811193466187,0.9999865293502808,0.5233985185623169,0.22459062933921814,-0.24135878682136536,0.9999797940254211,0.5219817161560059,0.22421479225158691,-0.24151179194450378,0.9999836683273315,0.5145471692085266,0.22596974670886993,-0.30876660346984863,0.9999919533729553,0.5069031715393066,0.22650697827339172,-0.3088548481464386,0.99998939037323,0.49831995368003845,0.22724726796150208,-0.3088937997817993,0.9999935626983643,0.47285786271095276,0.23555293679237366,-0.07428228110074997,0.9999808669090271,0.45495840907096863,0.23964719474315643,-0.3852836489677429,0.9999948143959045,0.5428935289382935,0.26120781898498535,-0.1988936811685562,0.9999736547470093,0.5317649245262146,0.2626584768295288,-0.2874167561531067,0.999996542930603,0.486507773399353,0.33199599385261536,0.15842118859291077,0.9997962117195129,0.3954515755176544,0.3530353009700775,-0.45380470156669617,0.9999764561653137,0.4835520386695862,0.44253870844841003,0.46836036443710327,0.25830039381980896,0.24512694776058197,0.4815960228443146,-0.43987786769866943,0.9988900423049927,0.6213294267654419,0.4642862379550934,0.5126939415931702,0.5209657549858093,0.4880255460739136,0.5372142195701599,-0.27507150173187256,0.9895532727241516,0.6565439701080322,0.4744250178337097,0.5072444677352905,0.5469183325767517,0.5451306104660034,0.5679500699043274,-0.30472883582115173,0.9711371660232544,0.6505299806594849,0.4721605181694031,0.4530056118965149,0.5583367943763733,0.5661654472351074,0.5524134635925293,-0.27934837341308594,0.9719437956809998,0.63289874792099,0.4701724648475647,0.49051883816719055,0.5259883403778076,0.5553880333900452,0.5429355502128601,-0.25330105423927307,0.9669588208198547,0.5438287258148193,0.5581027865409851,0.2244279682636261,0.9991273283958435,0.4791407287120819,0.6067505478858948,-0.2240930050611496,0.9993239641189575,0.8633137345314026,0.5881990790367126,0.2869667708873749,0.5636035203933716,0.8563872575759888,0.6486964821815491,-0.258350670337677,0.9651090502738953,0.7692427039146423,0.7623711228370667,0.4817533791065216,0.5119390487670898,0.7997722029685974,0.8074975609779358,0.13056157529354095,0.8901563286781311,0.6886093020439148,0.7826048731803894,0.4970929026603699,0.5476812720298767,0.748489499092102,0.8344203233718872,0.18545658886432648,0.8361502885818481,0.889796793460846,0.8216879963874817,0.5263046622276306,0.5529512166976929,0.9391772150993347,0.8419748544692993,0.29021862149238586,0.8745818734169006
9,0.5426335334777832,0.24038641154766083,-0.2809518277645111,0.9999883770942688,0.5239258408546448,0.22494690120220184,-0.24729329347610474,0.9999855756759644,0.5231916308403015,0.22458067536354065,-0.24736839532852173,0.9999786615371704,0.5217663645744324,0.22421219944953918,-0.24751074612140656,0.9999829530715942,0.514350414276123,0.22596271336078644,-0.3145645260810852,0.999991238117218,0.5067165493965149,0.2264971137046814,-0.3146477937698364,0.9999883770942688,0.4981876313686371,0.22723108530044556,-0.3146795332431793,0.9999929666519165,0.47258278727531433,0.2355940341949463,-0.07981681823730469,0.9999805092811584,0.4548146724700928,0.23958641290664673,-0.3915110230445862,0.9999943971633911,0.5427325963973999,0.26140812039375305,-0.20430058240890503,0.9999730587005615,0.5316384434700012,0.2629062831401825,-0.29238706827163696,0.9999963641166687,0.4864156246185303,0.33193814754486084,0.15161430835723877,0.9997962713241577,0.3954220414161682,0.3533423840999603,-0.4563608169555664,0.9999750256538391,0.48610779643058777,0.4432799220085144,0.47682368755340576,0.25672850012779236,0.24386978149414062,0.48306673765182495,-0.43751803040504456,0.9988117218017578,0.6211841106414795,0.46594691276550293,0.5348798036575317,0.5127856731414795,0.4860028624534607,0.5392712354660034,-0.2583218514919281,0.9885295033454895,0.6566035151481628,0.4761364161968231,0.5316776037216187,0.5394428968429565,0.5449972748756409,0.5692272782325745,-0.2866329848766327,0.9686998724937439,0.6496294140815735,0.47270146012306213,0.47642263770103455,0.5513486266136169,0.5652797818183899,0.5539263486862183,-0.261029988527298,0.9695864915847778,0.6321654915809631,0.4705212116241455,0.5123589634895325,0.5196409821510315,0.5541617274284363,0.54511559009552,-0.23612946271896362,0.9644098877906799,0.5433047413825989,0.5589762330055237,0.2240767627954483,0.9991232752799988,0.47913533449172974,0.6076770424842834,-0.22374659776687622,0.9993247985839844,0.863874614238739,0.5884999632835388,0.293303906917572,0.5656644701957703,0.856387734413147,0.6490176916122437,-0.24148273468017578,0.9654741287231445,0.768970251083374,0.7631819248199463,0.49360689520835876,0.511629045009613,0.7982610464096069,0.8061897158622742,0.17595607042312622,0.8875014185905457,0.68500155210495,0.7828577160835266,0.5099626779556274,0.5460958480834961,0.7444871068000793,0.829345703125,0.23435907065868378,0.8327083587646484,0.8901374340057373,0.8216913938522339,0.5387972593307495,0.5511654615402222,0.9391556978225708,0.841985821723938,0.34563347697257996,0.8709978461265564
10,0.541918158531189,0.24047334492206573,-0.28528764843940735,0.9999872446060181,0.52364182472229,0.224955216050148,-0.2507215440273285,0.9999843239784241,0.5230191946029663,0.22458909451961517,-0.25079381465911865,0.9999769926071167,0.5216960310935974,0.22422626614570618,-0.2509358525276184,0.999981701374054,0.5136390328407288,0.22598034143447876,-0.31767815351486206,0.9999904632568359,0.5057168006896973,0.22651757299900055,-0.3177553415298462,0.9999873638153076,0.49699267745018005,0.22725419700145721,-0.317786306142807,0.9999924302101135,0.47291186451911926,0.23562681674957275,-0.07849279791116714,0.999979555606842,0.4535723626613617,0.23959292471408844,-0.3766087591648102,0.9999940395355225,0.5421119928359985,0.26184582710266113,-0.20738381147384644,0.9999719858169556,0.5304348468780518,0.2633430063724518,-0.295357882976532,0.9999961853027344,0.4872971177101135,0.3322434723377228,0.16151480376720428,0.9997861385345459,0.39540746808052063,0.35334721207618713,-0.4421475827693939,0.9999741315841675,0.5033481121063232,0.44699808955192566,0.47338709235191345,0.24952322244644165,0.24224621057510376,0.48368823528289795,-0.420803964138031,0.9987358450889587,0.6213265061378479,0.47206568717956543,0.5122123956680298,0.4926166534423828,0.48342353105545044,0.5417706370353699,-0.25369346141815186,0.9871671199798584,0.6563319563865662,0.48420336842536926,0.5073041319847107,0.5202076435089111,0.5439749956130981,0.5713554620742798,-0.28340861201286316,0.9652734994888306,0.6488683819770813,0.47933849692344666,0.45619603991508484,0.5319675803184509,0.5642418265342712,0.5568447709083557,-0.2554648220539093,0.9661992192268372,0.6319414973258972,0.4769403338432312,0.4909660518169403,0.5015997290611267,0.5531175136566162,0.5476126074790955,-0.23074042797088623,0.9609420299530029,0.5422308444976807,0.562393844127655,0.2241465300321579,0.9991381168365479,0.47913220524787903,0.6096294522285461,-0.22385163605213165,0.9993371963500977,0.8637957572937012,0.5888108611106873,0.2955774962902069,0.5659141540527344,0.8564913272857666,0.6491867899894714,-0.24201306700706482,0.9660435318946838,0.7673841714859009,0.7639182209968567,0.493030309677124,0.5111774206161499,0.7962082028388977,0.8061042428016663,0.17369981110095978,0.8850988745689392,0.6849954724311829,0.7843146920204163,0.5086384415626526,0.5435850024223328,0.7425448894500732,0.8291727304458618,0.23148025572299957,0.828859806060791,0.8905104398727417,0.8248206377029419,0.5342686772346497,0.5495870113372803,0.9392592906951904,0.8414943814277649,0.34227409958839417,0.8678425550460815
